,0
pyspark,255
airflow,188
API,172
ml,171
scipy,136
mlflow,129
scikit-learn,123
matplotlib,114
numpy,106
A/B тесты,99
kafka,92
pandas,89
pytorch,82
PostgreSQL,82
computer vision,73
Teamleading,69
Spark,62
docker,60
xgboost,52
Big Data,49
hive,48
lightgbm,44
nlp,43
JavaScript,40
machine learning,38
catboost,38
hadoop,36
data science,34
keras,32
clickhouse,31
data scientist,23
seaborn,17
ETL,13
Power BI,8
deep learning,7
SQL,0
natural language processing,0
MySQL,0
Python,0
tensorflow,-5
CV,-7
sklearn,-8
Google Analytics,-13
Git,-19
Oracle Pl/SQL,-19
Data Analysis,-22
it,-25
Linux,-31
MS SQL Server,-32
MongoDB,-32
Mathematical Statistics,-36
opencv,-44
R,-46
AWS,-49
ORACLE,-52
scala,-57
Tableau,-59
MS SQL,-59
sas,-59
Apache Spark,-61
Java,-68
C++,-85
Data Mining,-90
